[-0.59515481  0.        ],[0 1 0]
[-5.94622250e-01  5.32557885e-04],[0 0 1]
[-0.59256104  0.00206121],[1 0 0]
[-0.59098629  0.00157475],[1 0 0]
[-0.58990957  0.00107672],[1 0 0]
[-5.89338795e-01  5.70775728e-04],[1 0 0]
[-5.89278159e-01  6.06358248e-05],[0 0 1]
[-0.58772811  0.00155005],[0 0 1]
[-0.58470005  0.00302806],[0 0 1]
[-0.58021629  0.00448376],[0 0 1]
[-0.57430995  0.00590635],[1 0 0]
[-0.56902473  0.00528522],[1 0 0]
[-0.56439987  0.00462486],[0 1 0]
[-0.55946977  0.0049301 ],[0 1 0]
[-0.55427115  0.00519862],[0 1 0]
[-0.54884282  0.00542833],[1 0 0]
[-0.54422533  0.00461748],[1 0 0]
[-0.54045325  0.00377208],[0 0 1]
[-0.53555481  0.00489844],[1 0 0]
[-0.53156672  0.00398809],[0 0 1]
[-0.52651888  0.00504784],[0 0 1]
[-0.52044913  0.00606974],[0 1 0]
[-0.51440301  0.00604612],[1 0 0]
[-0.50942585  0.00497716],[0 0 1]
[-0.50355495  0.0058709 ],[0 1 0]
[-0.49783429  0.00572066],[0 1 0]
[-0.49230667  0.00552762],[0 0 1]
[-0.4860134   0.00629327],[0 1 0]
[-0.48000142  0.00601198],[1 0 0]
[-0.47531549  0.00468593],[0 0 1]
[-0.46999042  0.00532507],[0 1 0]
[-0.46506568  0.00492474],[0 1 0]
[-0.46057769  0.00448799],[1 0 0]
[-0.45755954  0.00301815],[1 0 0]
[-0.45603345  0.00152609],[1 0 0]
[-4.56010646e-01  2.28083316e-05],[0 0 1]
[-0.45549128  0.00051936],[0 0 1]
[-0.45447918  0.0010121 ],[0 0 1]
[-0.45298176  0.00149741],[0 1 0]
[-0.45201002  0.00097174],[0 0 1]
[-0.45057108  0.00143894],[0 1 0]
[-0.44967548  0.00089561],[1 0 0]
[-0.45032976 -0.00065429],[1 0 0]
[-0.45252915 -0.00219939],[1 0 0]
[-0.45625754 -0.00372838],[1 0 0]
[-0.46148755 -0.00523001],[0 1 0]
[-0.46718071 -0.00569316],[1 0 0]
[-0.47429498 -0.00711427],[1 0 0]
[-0.48277769 -0.00848271],[1 0 0]
[-0.49256579 -0.0097881 ],[1 0 0]
[-0.5035863  -0.01102051],[0 0 1]
[-0.51375681 -0.01017051],[0 1 0]
[-0.52400113 -0.01024432],[0 1 0]
[-0.53424243 -0.0102413 ],[1 0 0]
[-0.54540392 -0.01116149],[1 0 0]
[-0.55740198 -0.01199807],[1 0 0]
[-0.57014696 -0.01274498],[1 0 0]
[-0.58354396 -0.013397  ],[0 1 0]
[-0.59649378 -0.01294983],[1 0 0]
[-0.60990125 -0.01340746],[1 0 0]
[-0.62366865 -0.0137674 ],[1 0 0]
[-0.63769675 -0.0140281 ],[1 0 0]
[-0.65188573 -0.01418898],[1 0 0]
[-0.66613613 -0.0142504 ],[0 1 0]
[-0.67934978 -0.01321366],[0 1 0]
[-0.69143735 -0.01208757],[1 0 0]
[-0.70331865 -0.0118813 ],[0 0 1]
[-0.71291641 -0.00959776],[1 0 0]
[-0.7221694  -0.00925299],[1 0 0]
[-0.73101964 -0.00885025],[0 1 0]
[-0.7384127  -0.00739306],[0 0 1]
[-0.74330388 -0.00489118],[0 1 0]
[-0.74666401 -0.00336013],[1 0 0]
[-0.74947325 -0.00280924],[0 1 0]
[-0.75071514 -0.00124189],[1 0 0]
[-7.51382420e-01 -6.67282058e-04],[0 1 0]
[-0.75047121  0.00091121],[0 0 1]
[-0.74698683  0.00348439],[1 0 0]
[-0.74294965  0.00403717],[0 0 1]
[-0.73638353  0.00656612],[0 0 1]
[-0.72732773  0.0090558 ],[0 1 0]
[-0.71683733  0.0104904 ],[0 0 1]
[-0.70397746  0.01285987],[1 0 0]
[-0.69082981  0.01314764],[1 0 0]
[-0.67747989  0.01334992],[1 0 0]
[-0.66401642  0.01346347],[0 0 1]
[-0.64853069  0.01548573],[1 0 0]
[-0.63312975  0.01540094],[1 0 0]
[-0.61792204  0.01520772],[0 0 1]
[-0.6010163   0.01690574],[0 1 0]
[-0.58353513  0.01748116],[0 1 0]
[-0.56560687  0.01792827],[0 1 0]
[-0.54736437  0.0182425 ],[0 0 1]
[-0.52794378  0.01942059],[0 0 1]
[-0.50749061  0.02045317],[1 0 0]
[-0.4881582   0.01933241],[0 0 1]
[-0.4680911  0.0200671],[0 0 1]
[-0.44743838  0.02065272],[0 1 0]
[-0.42735191  0.02008647],[0 0 1]
[-0.4069773   0.02037461],[0 0 1]
[-0.38645962  0.02051768],[0 0 1]
[-0.3659417   0.02051791],[0 0 1]
[-0.34556263  0.02037908],[1 0 0]
[-0.32745623  0.01810639],[1 0 0]
[-0.31173747  0.01571876],[0 1 0]
[-0.29750284  0.01423464],[0 0 1]
[-0.28383685  0.01366599],[0 1 0]
[-0.27181798  0.01201887],[0 0 1]
